,user_id,questions_135556_what_is_your_gender,questions_135557_how_old_are_you,LSM_group1,questions_135613_who_do_you_share_your_home_with,questions_224112_149402_210209_including_yourself_how_many_people_do_you_share_your_home_with,questions_134340_what_do_you_do_to_try_to_stay_healthy_tick_all_that_apply,questions_134341_what_drives_you_to_have_a_healthy_lifestyle_you_may_select_up_to_3,questions_134342_do_you_try_to_eat_or_drink_in_any_of_the_following_ways,questions_134344_which_of_the_following_steps_if_any_are_you_taking_to_eat_drink_more_healthily,questions_134347_how_regularly_do_you_exercise_you_can_be_honest_it_s_just_between_us,questions_134348_which_types_of_exercise_do_you_enjoy_doing_tick_all_that_apply,questions_134356_do_you_do_any_of_the_following_to_help_you_sleep_tick_all_that_apply,questions_134357_and_do_you_try_to_avoid_certain_things_in_the_hour_before_you_go_to_sleep_tick_all_that_apply
16,263938166.0,Male,35-44,High,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Exercise regularly"", ""Take vitamin / other supplements""]","[""To make the most out of/enjoy life"", ""Have more energy"", ""I feel pressured because everyone else is doing it""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",Once a week,"[""Hiking"", ""Running"", ""Cycling""]","[""Have herbal tea"", ""Meditate""]","[""Heavy meal""]"
18,935307022.0,Male,25-34,Low,"[""Partner / spouse""]","""5+""","[""Eat healthily"", ""Taking time to relax"", ""Stay hydrated"", ""Stress control methods""]","[""Feeling good about myself"", ""To improve my sleep"", ""Prevent health conditions in later life""]","[""Pescatarian: eat no meat"", ""Halal"", ""Low sugar""]","[""Checking nutritional value of the food / drink I purchase"", ""Shopping at places that have a wide selection of healthy options"", ""Making an effort to find healthy recipes"", ""Watching the size of my portions""]",Once a week,"[""Hiking"", ""Running"", ""Walking""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Caffeine"", ""Heavy meal""]"
19,332413318.0,Female,45+,High,"[""Children under 18 years old"", ""Partner / spouse""]",3,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Eat healthily""]","[""To manage a health / medical condition""]","[""None of the above""]","[""Cooking more meals at home"", ""Eating dessert less often""]",Less often,,"[""No, none of these""]","[""Heavy meal"", ""Watching TV"", ""Checking emails""]"
20,653281903.0,Male,25-34,Medium,"[""I live alone""]",1,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Take vitamin / other supplements""]","[""To lose / manage my weight"", ""To improve my sleep"", ""Prevent health conditions in later life""]","[""Low calorie"", ""Low sugar""]","[""Watching the size of my portions"", ""Snacking less often""]",Less often,"[""Cardio / Aerobics / Water aerobics""]","[""Other""]","[""Browsing on my cell phone / tablet"", ""Alcohol"", ""Checking emails"", ""Watching TV""]"
22,138818823.0,Female,45+,Medium,"[""I live alone""]",1,"[""Taking time to relax"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""To make the most out of/enjoy life""]","[""Halal"", ""Low calorie""]","[""Cooking more meals at home"", ""Snacking less often"", ""Making an effort to find healthy recipes""]",Less often,"[""Swimming"", ""Walking""]","[""Take herbal supplements""]","[""No, none of these""]"
23,824822647.0,Female,18-24,High,"[""Children 18+"", ""Partner / spouse""]",3,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily""]","[""Have more energy""]","[""Low salt"", ""Low calorie"", ""Low cholesterol"", ""High protein"", ""Dairy free"", ""Low sugar""]","[""Making an effort to find healthy recipes"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Snacking less often"", ""Trying to have a variety of colors on my plate""]",Once a week,"[""Swimming"", ""Yoga/Pilates"", ""Spinning"", ""Cardio / Aerobics / Water aerobics"", ""Running""]","[""No, none of these""]","[""Caffeine""]"
24,313728856.0,Male,25-34,Medium,"[""Partner / spouse""]",3,"[""Drink lots of water / fluids"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Halal""]","[""Checking / reading the ingredients in food / drink products""]",Less often,"[""Running""]","[""No, none of these""]","[""Browsing on my cell phone / tablet"", ""Watching TV"", ""Checking emails""]"
25,656501618.0,Female,45+,Medium,"[""Partner / spouse""]",3,"[""Exercise regularly""]","[""To support my family"", ""To improve brain function/ memory"", ""To lose / manage my weight""]","[""High protein""]","[""Filling half my plate with vegetables""]",3+ times a week,"[""Swimming""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal"", ""Browsing on my cell phone / tablet"", ""Alcohol""]"
26,574251895.0,Male,25-34,High,"[""Parents""]",four,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""Prevent health conditions in later life"", ""To support my family"", ""To set a good example for my family""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt"", ""Low sugar""]","[""Checking nutritional value of the food / drink I purchase"", ""Snacking less often"", ""Checking / reading the ingredients in food / drink products"", ""Eating dessert less often""]",Twice a week,"[""Cardio / Aerobics / Water aerobics"", ""Running""]","[""Have a bath"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Other""]"
28,684710735.0,Female,18-24,Medium,"[""Partner / spouse""]",2,"[""Meditation / positive mindset methods"", ""Make sure I get enough sleep"", ""Take vitamin / other supplements""]","[""Have more energy"", ""To manage a health / medical condition"", ""To set a good example for my family""]","[""Low calorie""]","[""Eating out / ordering takeout less frequently""]",Twice a week,"[""Hiking""]","[""Have a bath"", ""Meditate"", ""Remove screens from bedrooms e.g. TV, cell phone"", ""Have warm milk""]","[""Heavy meal"", ""Alcohol""]"
30,793098535.0,Male,25-34,High,"[""Partner / spouse""]",2,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""To manage a health / medical condition""]","[""Flexitarian: eat meat but control the amount eaten"", ""Low salt"", ""Low calorie"", ""Low cholesterol"", ""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Dairy free"", ""Low sugar"", ""Low / zero carb""]","[""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Eating out at places that have healthy options available"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Counting / tracking calories"", ""Shopping at places that have a wide selection of healthy options"", ""Trying to have a variety of colors on my plate"", ""Snacking less often"", ""Filling half my plate with vegetables"", ""Eating out / ordering takeout less frequently"", ""Intermittent fasting""]",3+ times a week,"[""Swimming"", ""Cycling"", ""Yoga/Pilates"", ""Circuit training/ HIIT"", ""Walking"", ""Aerobics"", ""Weights"", ""Cardio / Aerobics / Water aerobics"", ""Strength training""]","[""Have warm milk""]","[""Heavy meal"", ""Watching TV"", ""Browsing on my cell phone / tablet"", ""Caffeine"", ""Alcohol""]"
31,747875598.0,Male,45+,High,"[""Children over 18 years old"", ""Parents""]",3,"[""Taking time to relax"", ""Take vitamin / other supplements""]","[""To support my family"", ""To set a good example for my family""]","[""None of the above""]","[""Eating out / ordering takeout less frequently""]",3+ times a week,,"[""Have a bath""]","[""Heavy meal""]"
37,758244898.0,Female,18-24,Low,"[""Children under 18 years old""]","""5+""","[""Make sure I get enough sleep"", ""Meditation / positive mindset methods""]","[""To live longer"", ""To lose / manage my weight"", ""To make the most of treats / indulgent moments""]","[""High protein""]","[""Shopping at places that have a wide selection of healthy options"", ""Checking / reading the ingredients in food / drink products""]",Few times a month,,"[""Have a bath"", ""Have herbal tea""]","[""Heavy meal"", ""Alcohol""]"
38,844900316.0,Female,45+,Medium,"[""Children over 18 years old""]",2,"[""Drink lots of water / fluids"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To support my family"", ""To improve brain function/ memory"", ""To lose / manage my weight""]","[""None of the above""]","[""Watching the size of my portions""]",Twice a week,,"[""Have herbal tea""]","[""Heavy meal""]"
39,120533962.0,Male,25-34,Medium,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Taking time to relax"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""To make the most out of/enjoy life"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""None of the above""]","[""Checking / reading the ingredients in food / drink products""]",Few times a month,"[""Cardio / Aerobics / Water aerobics"", ""Running""]","[""Have herbal tea""]","[""No, none of these""]"
42,618860323.0,Female,45+,High,"[""Parents""]",3,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Stress control methods"", ""Eat healthily"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""To improve brain function/ memory"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low calorie"", ""Low cholesterol""]","[""Eating out at places that have healthy options available"", ""Watching the size of my portions"", ""Shopping at places that have a wide selection of healthy options"", ""Snacking less often"", ""Cooking more meals at home""]",Never,"[""Yoga/Pilates"", ""Swimming""]","[""Have a malted milk drink""]","[""No, none of these""]"
46,709060298.0,Male,35-44,Low,"[""Parents""]",3,"[""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Stress control methods""]","[""To live longer"", ""To make the most out of / enjoy life"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low cholesterol"", ""Low sugar""]","[""Watching the size of my portions"", ""Snacking less often"", ""Eating out at places that have healthy options available""]",Twice a week,"[""Walking""]","[""No, none of these""]","[""No, none of these""]"
47,276801032.0,Female,25-34,High,"[""Partner / spouse"", ""Other family members"", ""Parents""]",seven,"[""Eat healthily"", ""Exercise regularly"", ""Meditation / positive mindset methods""]","[""Feeling good about myself"", ""To support my family"", ""To improve my sleep""]","[""Low sugar""]","[""Cooking more meals at home""]",Once a week,"[""Running""]","[""No, none of these""]","[""Caffeine"", ""Browsing on my mobile  phone / tablet""]"
48,808673028.0,Male,18-24,High,"[""Parents""]",5+,"[""Eat healthily"", ""Exercise regularly"", ""Stay hydrated""]","[""Feeling good about myself"", ""Prevent health conditions in later life"", ""To set a good example for my family""]","[""Vegetarian: eat no meat or fish""]","[""Watching the size of my portions""]",Once a week,"[""Running"", ""Cycling""]","[""Have herbal tea""]","[""Heavy meal""]"
49,820166339.0,Male,18-24,High,"[""Partner / spouse""]",3,"[""Exercise regularly""]","[""To lose / manage my weight"", ""To manage a health / medical condition"", ""I feel pressured because everyone else is doing it""]","[""Low salt""]","[""Making an effort to find healthy recipes""]",3+ times a week,"[""Hiking""]","[""Have herbal tea"", ""Have warm milk""]","[""No, none of these""]"
50,714197522.0,Male,35-44,High,"[""Children under 18 years old"", ""Partner / spouse""]",four,"[""Stay hydrated"", ""Taking time to relax"", ""Drink lots of water / fluids"", ""Eat healthily""]","[""To live longer"", ""Feeling good about myself"", ""To make the most out of/enjoy life""]","[""Low salt""]","[""Making an effort to find healthy recipes"", ""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Cooking more meals at home"", ""Filling half my plate with vegetables"", ""Eating out / ordering takeout less frequently"", ""Trying to have a variety of colors on my plate""]",Twice a week,"[""Running"", ""Weights"", ""Walking"", ""Aerobics""]","[""Meditate""]","[""Checking emails""]"
57,202378424.0,Female,45+,High,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Make sure I get enough sleep"", ""Eat healthily"", ""Taking time to relax"", ""Stress control methods""]","[""To support my family"", ""To manage a health / medical condition"", ""To set a good example for my family""]","[""None of the above""]","[""Cooking more meals at home"", ""Snacking less often"", ""Counting / tracking calories"", ""Watching the size of my portions""]",Twice a week,"[""Yoga/Pilates"", ""Swimming"", ""Walking"", ""Cycling""]","[""Take sleeping tablets""]","[""No, none of these""]"
60,732097436.0,Male,35-44,Low,"[""Children under 18 years old""]","""5+""","[""Eat healthily"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""Prevent health conditions in later life"", ""To make the most out of/enjoy life"", ""To set a good example for my family""]","[""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Gluten / wheat free""]","[""Making an effort to find healthy recipes"", ""Shopping at places that have a wide selection of healthy options"", ""Counting / tracking calories"", ""Cooking more meals at home""]",3+ times a week,"[""Swimming"", ""Cycling"", ""Walking"", ""Strength training"", ""Running""]","[""No, none of these""]","[""No, none of these""]"
62,786021762.0,Female,25-34,Medium,"[""Partner / spouse""]",2,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To make the most out of/enjoy life"", ""To improve my sleep""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low sugar""]","[""Making an effort to find healthy recipes"", ""Snacking less often"", ""Eating dessert less often"", ""Trying to have a variety of colors on my plate""]",Twice a week,"[""Yoga/Pilates"", ""Walking"", ""Spinning"", ""Running""]","[""Take herbal supplements"", ""Have herbal tea""]","[""No, none of these""]"
64,450106431.0,Male,18-24,High,"[""Parents""]",6,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""To live longer"", ""To make the most out of/enjoy life"", ""Have more energy""]","[""Keto""]","[""Counting / tracking calories""]",Less often,"[""Strength training"", ""Running""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
68,511634318.0,Female,18-24,Medium,"[""Parents""]","""5+""","[""Drink lots of water / fluids""]","[""Feeling good about myself"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""High protein"", ""Low calorie"", ""Pescatarian: eat no meat"", ""Low salt""]","[""Eating dessert less often"", ""Eating out at places that have healthy options available"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Yoga/Pilates"", ""Walking""]","[""Other""]","[""Heavy meal""]"
75,358040100.0,Male,45+,High,"[""Children over 18 years old"", ""Partner / spouse""]",3,"[""Eat healthily"", ""Exercise regularly""]","[""Feeling good about myself"", ""To manage a health / medical condition"", ""To set a good example for my family""]","[""Low calorie"", ""Low sugar""]","[""Making an effort to find healthy recipes"", ""Eating dessert less often"", ""Counting / tracking calories""]",Less often,"[""Walking"", ""Cycling""]","[""Have warm milk""]","[""Caffeine"", ""Heavy meal"", ""Alcohol""]"
76,380220986.0,Female,18-24,High,"[""Children under 18 years old"", ""Children over 18 years old"", ""Parents""]",4,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""To live longer"", ""To make the most of treats / indulgent moments"", ""To set a good example for my family""]","[""Flexitarian: eat meat but control the amount eaten"", ""Dairy free""]","[""Cooking more meals at home"", ""Eating out / ordering takeout less frequently"", ""Filling half my plate with vegetables""]",Less often,,"[""No, none of these""]","[""Heavy meal""]"
78,525576186.0,Female,45+,High,"[""Children under 18 years old"", ""Partner / spouse""]",3,"[""Taking time to relax"", ""Drink lots of water / fluids""]","[""Have more energy"", ""To lose / manage my weight"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt""]","[""Watching the size of my portions"", ""Trying to have a variety of colors on my plate""]",Once a week,"[""Walking"", ""Cycling""]","[""No, none of these""]","[""Caffeine""]"
79,820967386.0,Female,45+,Medium,"[""Children over 18 years old"", ""Partner / spouse""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""Have more energy"", ""To improve my sleep"", ""To manage a health / medical condition""]","[""None of the above""]","[""Cooking more meals at home"", ""Snacking less often"", ""Eating dessert less often""]",3+ times a week,"[""Walking""]","[""No, none of these""]","[""Watching TV""]"
80,440997300.0,Male,46-55,Low,"[""I live alone""]",,"[""Taking time to relax""]","[""To make the most out of/enjoy life"", ""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""None of the above""]","[""Snacking less often""]",3+ times a week,,"[""No, none of these""]","[""Watching TV"", ""Checking emails"", ""Browsing on my cell phone / tablet"", ""Caffeine"", ""Alcohol""]"
81,323137379.0,Female,18-24,Low,"[""Partner / spouse""]",2,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Stress control methods"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To live longer"", ""Have more energy"", ""To set a good example for my family""]","[""Low calorie"", ""Low salt""]","[""Checking nutritional value of the food / drink I purchase"", ""Checking / reading the ingredients in food / drink products""]",Twice a week,"[""Cardio / Aerobics / Water aerobics"", ""Strength training"", ""Weights""]","[""No, none of these""]","[""No, none of these""]"
82,880744214.0,Male,35-44,High,"[""Children under 18 years old""]",4,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""To make the most out of/enjoy life"", ""To lose / manage my weight"", ""Prevent health conditions in later life""]","[""Specific diet - specify"", ""Halal"", ""Low sugar""]","[""Eating dessert less often""]",Twice a week,"[""Weights""]","[""No, none of these""]","[""Watching TV""]"
83,533127543.0,Female,45+,Low,"[""Parents""]",,"[""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Eat healthily"", ""Taking time to relax""]","[""To make the most of treats / indulgent moments"", ""To support my family"", ""To improve my sleep""]","[""High protein"", ""Low / zero carb"", ""Low sugar""]","[""Making an effort to find healthy recipes"", ""Watching the size of my portions"", ""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Trying to have a variety of colors on my plate""]",Twice a week,"[""Walking"", ""Aerobics"", ""Weights"", ""Strength training"", ""Running""]","[""No, none of these""]","[""No, none of these""]"
85,716113572.0,Female,35-44,Low,"[""Other family members""]","""5+""","[""Meditation / positive mindset methods""]","[""To improve brain function/ memory"", ""To manage a health / medical condition"", ""To set a good example for my family""]","[""Low sugar""]","[""Checking / reading the ingredients in food / drink products""]",Few times a month,,"[""Remove screens from bedrooms e.g. TV, cell phone""]","[""No, none of these""]"
87,161240299.0,Female,35-44,High,"[""Children under 18 years old"", ""Partner / spouse""]",3,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""Have more energy"", ""To make the most of treats / indulgent moments"", ""Prevent health conditions in later life""]","[""None of the above""]","[""Filling half my plate with vegetables""]",3+ times a week,,"[""No, none of these""]","[""No, none of these""]"
89,249747429.0,Female,45+,Medium,"[""Partner / spouse""]",4,"[""Exercise regularly""]","[""Feeling good about myself"", ""To support my family"", ""Have more energy""]","[""High protein""]","[""Shopping at places that have a wide selection of healthy options"", ""Eating out at places that have healthy options available""]",3+ times a week,"[""Running""]","[""No, none of these""]","[""Caffeine"", ""Heavy meal""]"
91,978159342.0,Male,25-34,Medium,"[""Partner / spouse""]",3,"[""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To support my family"", ""To lose / manage my weight""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Halal""]","[""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products"", ""Making an effort to find healthy recipes"", ""Watching the size of my portions""]",3+ times a week,"[""Running"", ""Weights"", ""Walking""]","[""Have a bath""]","[""Caffeine"", ""Alcohol"", ""Watching TV"", ""Heavy meal""]"
92,503412821.0,Male,35-44,Medium,"[""Children under 18 years old"", ""Partner / spouse""]",4,"[""Eat healthily"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""To live longer"", ""To support my family"", ""Have more energy""]","[""Dairy free"", ""Low cholesterol"", ""Low salt""]","[""Cooking more meals at home"", ""Eating out at places that have healthy options available"", ""Filling half my plate with vegetables""]",Less often,"[""Walking"", ""Weights"", ""Aerobics""]","[""Meditate""]","[""Caffeine"", ""Heavy meal""]"
96,295819012.0,Male,35-44,Medium,"[""Parents""]",4,"[""Taking time to relax"", ""Exercise regularly""]","[""Feeling good about myself"", ""Prevent health conditions in later life""]","[""Flexitarian: eat meat but control the amount eaten"", ""Organic"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Eating out at places that have healthy options available"", ""Counting / tracking calories""]",3+ times a week,"[""Strength training"", ""Running""]","[""Have herbal tea""]","[""Caffeine""]"
1,389214045.0,Female,25-34,High,"[""Children over 18 years old""]",4,"[""Stay hydrated""]","[""To make the most out of/enjoy life""]","[""None of the above""]","[""Eating out at places that have healthy options available""]",3+ times a week,"[""Yoga/Pilates"", ""Running""]","[""Have a bath"", ""Have a malted milk drink""]","[""Caffeine"", ""Alcohol"", ""Browsing on my cell phone / tablet"", ""Watching TV""]"
3,0.0,Female,45+,High,"[""Partner /spouse""]",1,"[""Other"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Stay hydrated""]","[""To manage a health / medical condition"", ""Prevent health conditions in later life""]","[""Flexitarian: eat meat but control the amount eaten"", ""Low / zero carb"", ""Low sugar""]","[""Intermittent fasting""]",Never,,"[""Have a bath"", ""Have herbal tea""]","[""Caffeine"", ""Heavy meal"", ""Other""]"
4,2647339060.0,Male,25-34,High,"[""Other family members"", ""Parents""]",4,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""To improve my sleep"", ""To make the most of treats / indulgent moments"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt"", ""Low sugar""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Shopping at places that have a wide selection of healthy options"", ""Filling half my plate with vegetables"", ""Eating out / ordering takeout less frequently"", ""Trying to have a variety of colors on my plate""]",3+ times a week,"[""Hiking"", ""Walking"", ""Cycling""]","[""Other"", ""Have warm milk""]","[""Caffeine"", ""Heavy meal""]"
